Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
53	1048.705	15.680245	1069.6116	1023.0219	336.3	22.578972	357.0	276.0	270000	4526.450197219849
54	1053.702	21.221113	1077.0916	1000.2067	344.3	21.931938	379.0	303.0	275000	4610.370198726654
55	1047.9401	10.567478	1063.3167	1025.775	344.2	21.994545	369.0	296.0	280000	4694.481338262558
56	1064.1293	8.49609	1078.7039	1051.0502	377.6	19.566298	407.0	339.0	285000	4775.557677984238
57	1050.0002	28.248125	1083.89	991.957	356.7	46.171528	410.0	279.0	290000	4861.888741970062
58	1055.6047	16.623867	1087.0175	1031.3328	351.2	32.055576	422.0	296.0	295000	4944.12130355835
59	1062.1821	16.919752	1088.3806	1026.7817	360.6	29.011032	405.0	303.0	300000	5029.073312997818
60	1056.1487	20.43258	1084.4603	1020.8254	361.5	36.175266	407.0	294.0	305000	5112.763728141785
61	1049.984	22.1043	1074.4059	993.83356	346.7	38.704136	410.0	273.0	310000	5195.078096628189
62	1061.8517	11.049703	1075.7919	1038.1578	371.4	23.397438	401.0	328.0	315000	5279.480557203293
63	1056.6787	28.110807	1099.016	1008.49335	377.3	33.58586	419.0	316.0	320000	5363.090717315674
64	1063.6154	15.495694	1084.0289	1024.675	359.5	37.903168	416.0	267.0	325000	5444.269454717636
65	1066.5527	20.112593	1100.2123	1034.992	374.8	37.60798	439.0	326.0	330000	5529.084228515625
66	1068.8022	17.461397	1088.7334	1032.3187	373.7	33.23868	414.0	307.0	335000	5610.685981273651
67	1032.6115	29.605097	1067.9048	966.98315	324.2	33.084137	370.0	262.0	340000	5694.683933258057
68	1050.8113	15.101009	1071.6775	1025.4756	366.7	23.677204	399.0	315.0	345000	5778.90438747406
69	1071.3511	12.985167	1095.0493	1056.398	394.3	28.266764	454.0	352.0	350000	5858.603777885437
70	1057.5925	8.896526	1067.6118	1043.4418	359.1	16.705986	385.0	339.0	355000	5943.216210126877
71	1057.8035	21.653666	1087.3099	1013.87885	353.5	43.832066	406.0	256.0	360000	6024.468979597092
72	1071.7687	20.752985	1104.7455	1036.7777	379.0	35.451374	448.0	306.0	365000	6107.114703416824
73	1065.8937	17.735868	1100.851	1037.8333	388.5	27.64869	433.0	342.0	370000	6189.792386054993
74	1068.1888	21.918228	1096.7004	1019.31354	375.9	38.65087	419.0	287.0	375000	6273.129815340042
75	1056.4678	41.130913	1100.4374	969.50323	364.5	49.30162	438.0	282.0	380000	6356.461163520813
76	1071.365	19.158667	1094.1901	1025.9143	361.5	36.5356	423.0	294.0	385000	6439.949305295944
77	1080.3694	21.430084	1108.224	1032.3617	375.6	35.858612	435.0	316.0	390000	6521.763055324554
78	1069.1969	25.92025	1096.7505	1010.82996	346.1	31.065899	393.0	299.0	395000	6606.706598520279
79	1083.5209	7.4798565	1093.9509	1071.9092	363.6	20.900719	413.0	339.0	400000	6687.042662858963
80	1081.4246	13.731501	1116.9845	1065.3772	375.0	26.057629	441.0	342.0	405000	6770.786905765533
81	1081.0068	15.151737	1100.2021	1052.7648	364.6	31.900469	406.0	303.0	410000	6852.38290977478
82	1080.8112	13.989826	1098.139	1049.6566	376.4	19.07459	408.0	350.0	415000	6933.887738704681
83	1081.5687	6.597977	1093.1577	1067.0858	394.8	11.382443	411.0	376.0	420000	7017.856346845627
84	1082.8102	15.975609	1103.432	1055.7161	387.5	24.196074	413.0	323.0	425000	7098.0340757369995
85	1081.6631	12.570889	1095.6807	1053.645	381.3	23.584105	414.0	328.0	430000	7182.771722078323
86	1089.306	12.896954	1108.6046	1064.7565	391.4	26.72901	442.0	361.0	435000	7263.927787542343
87	1090.5518	11.207138	1109.443	1072.317	378.8	16.03621	402.0	348.0	440000	7345.835354566574
88	1083.8191	8.164499	1094.0347	1070.1993	386.9	21.120842	417.0	346.0	445000	7428.679431438446
89	1085.133	16.745968	1117.7748	1059.7098	392.6	30.7057	441.0	354.0	450000	7509.874193429947
90	1089.3306	15.459402	1104.7612	1049.7369	401.8	27.132269	433.0	326.0	455000	7592.043094158173
91	1097.5876	12.190821	1117.2614	1077.9417	408.6	25.617184	445.0	361.0	460000	7675.196537256241
92	1098.8813	11.7634735	1113.5481	1076.3693	413.3	17.268759	451.0	391.0	465000	7755.974596977234
93	1100.589	17.752851	1119.5399	1068.1765	422.7	27.044594	468.0	375.0	470000	7838.9294402599335
94	1095.3114	21.075472	1114.9143	1042.8058	409.5	23.551008	444.0	368.0	475000	7921.423062801361
95	1111.0071	12.936558	1125.2655	1080.2775	436.7	16.407621	459.0	405.0	480000	8001.388063192368
96	1103.5374	10.084498	1124.8568	1093.7145	422.0	17.612495	458.0	399.0	485000	8085.171222448349
97	1111.012	10.343977	1128.295	1097.9719	418.9	22.187609	452.0	386.0	490000	8164.87414431572
98	1114.9111	9.388785	1127.6869	1092.3029	431.4	15.173661	459.0	404.0	495000	8247.969935417175
99	1112.3391	9.581788	1128.3029	1094.121	422.4	23.883886	450.0	382.0	500000	8330.668193817139
100	1109.7739	12.939166	1140.1387	1091.0465	426.5	18.472954	450.0	380.0	505000	8410.963681697845
101	1118.4781	20.58125	1142.8799	1065.9106	426.2	32.85057	457.0	338.0	510000	8494.092149019241
102	1117.4309	14.05889	1137.2374	1095.9655	441.6	17.62498	463.0	403.0	515000	8576.045721054077
103	1116.3822	14.649322	1138.5565	1088.5278	426.3	20.371794	454.0	389.0	520000	8657.036246299744
104	1111.8975	15.616628	1131.8387	1090.0927	429.8	21.117764	453.0	399.0	525000	8739.41637802124
105	1101.9424	14.2571125	1122.5718	1078.0212	418.1	20.3	450.0	375.0	530000	8822.948050498962
106	1109.3687	12.644116	1121.4032	1087.6708	412.4	21.114923	442.0	366.0	535000	8903.855316638947
107	1102.5082	24.200035	1129.5001	1037.9934	415.1	25.629866	438.0	347.0	540000	8987.586068868637
108	1106.7397	25.905346	1136.9241	1052.6399	413.4	37.590427	455.0	325.0	545000	9069.431157112122
109	1110.9934	19.99327	1134.6252	1070.9484	423.9	26.692509	472.0	378.0	550000	9151.185932636261
110	1120.9205	6.57677	1134.1259	1111.9806	427.6	14.291257	450.0	408.0	555000	9233.78886604309
111	1111.156	29.815456	1136.1272	1027.3129	422.9	33.146492	455.0	331.0	560000	9313.882098674774
112	1117.4922	13.260359	1144.4225	1100.7177	422.1	18.096685	458.0	390.0	565000	9398.36370897293
113	1109.8132	19.246231	1137.734	1063.1265	403.3	29.644732	436.0	348.0	570000	9479.544956445694
114	1114.0588	18.33044	1139.5105	1078.581	409.7	29.66159	462.0	362.0	575000	9561.937452554703
115	1106.3306	17.368149	1130.0403	1080.5096	399.2	29.525581	440.0	348.0	580000	9643.30578327179
116	1112.7643	13.926246	1134.0	1093.3423	414.5	18.287975	448.0	390.0	585000	9724.82787847519
117	1110.1785	9.314832	1123.4652	1091.0199	415.5	15.435349	433.0	388.0	590000	9807.229162216187
118	1105.957	7.9075375	1124.4496	1093.5518	414.2	16.166634	444.0	388.0	595000	9888.264743328094
119	1116.3743	12.849541	1138.0502	1097.6687	417.0	16.358484	435.0	383.0	600000	9971.030589103699
120	1117.7783	10.764727	1137.772	1108.0564	420.6	20.120636	460.0	392.0	605000	10053.003726482391
121	1106.4725	11.155553	1123.6018	1087.2498	404.8	20.855694	434.0	364.0	610000	10134.657135486603
122	1095.0643	23.664183	1124.0887	1030.1168	396.9	31.49111	447.0	336.0	615000	10216.004515886307
123	1099.5325	19.684868	1127.9374	1062.5571	396.9	35.87046	448.0	335.0	620000	10299.123244285583
124	1081.6633	32.03694	1119.8871	1013.4165	373.1	40.837357	418.0	296.0	625000	10381.019186258316
125	1109.7747	14.955692	1131.4358	1085.1377	404.7	28.046568	446.0	368.0	630000	10460.884766101837
126	1102.5304	21.114698	1136.7815	1066.0919	401.0	23.452078	438.0	364.0	635000	10530.586438655853
127	1113.9586	12.654199	1129.6432	1088.8202	412.2	21.442015	439.0	368.0	640000	10600.776808977127
128	1118.7863	10.432064	1140.3933	1106.0809	417.9	14.720395	448.0	391.0	645000	10671.98804974556
129	1117.803	9.471994	1138.6648	1103.3229	421.5	12.563837	448.0	407.0	650000	10741.770687818527
130	1111.4119	12.995526	1125.3751	1079.9458	417.6	19.520245	438.0	366.0	655000	10812.656569004059
131	1126.0698	11.958974	1148.4714	1107.7648	429.1	20.285215	467.0	396.0	660000	10880.785424947739
132	1124.9979	8.003647	1141.0596	1113.6863	428.7	12.546314	446.0	403.0	665000	10952.63778090477
133	1115.8945	9.29081	1128.4729	1093.24	423.0	21.123447	458.0	378.0	670000	11022.545366764069
134	1116.8922	16.13055	1136.5298	1079.1011	427.8	25.945328	463.0	370.0	675000	11093.34322810173
135	1121.932	9.870408	1136.8916	1099.6237	440.2	17.72456	461.0	403.0	680000	11163.660234451294
136	1117.3174	12.109323	1134.0494	1096.2146	437.6	13.388055	459.0	417.0	685000	11233.5323138237
137	1122.0535	9.007378	1134.2511	1103.6836	447.2	19.625492	466.0	397.0	690000	11304.47146654129
138	1128.0494	14.912077	1149.0184	1101.6235	456.2	12.528368	474.0	434.0	695000	11375.112724542618
139	1125.4407	14.755955	1150.6808	1102.1744	447.8	17.325125	475.0	415.0	700000	11445.578390836716
140	1131.8015	13.40973	1151.8801	1104.7351	456.6	17.928747	475.0	418.0	705000	11517.097532749176
141	1116.3545	17.505564	1142.627	1076.4615	445.5	20.215094	477.0	415.0	710000	11586.569972038269
142	1119.112	14.17346	1139.929	1091.6995	442.4	18.906084	470.0	399.0	715000	11657.982506513596
143	1125.3693	14.676995	1144.8638	1107.8618	445.6	19.26759	469.0	418.0	720000	11726.737024068832
144	1117.2891	13.131557	1134.9884	1084.926	440.8	16.868906	459.0	398.0	725000	11798.532210588455
145	1115.7484	13.51924	1139.422	1093.8491	435.5	21.086725	464.0	381.0	730000	11867.281658649445
146	1118.1757	10.272785	1130.4998	1098.0585	430.8	18.032192	452.0	385.0	735000	11939.30510020256
147	1110.1847	15.223228	1131.3593	1076.7466	420.4	28.313248	455.0	362.0	740000	12009.165338993073
148	1113.7445	11.589086	1134.4149	1099.7245	434.3	11.162885	445.0	407.0	745000	12080.68135881424
149	1113.7336	16.51302	1136.7129	1089.9829	425.3	25.776152	457.0	376.0	750000	12149.859853744507
150	1115.7595	16.528206	1136.0707	1091.1892	429.2	26.407574	465.0	396.0	755000	12221.355913877487
151	1127.0546	12.828076	1147.4314	1109.9855	433.6	26.192366	471.0	397.0	760000	12291.621860980988
152	1124.3655	19.235477	1161.0752	1088.3745	434.9	29.787415	475.0	373.0	765000	12362.302486419678
153	1124.7167	12.709345	1146.3738	1101.952	433.3	21.954727	461.0	387.0	770000	12431.562638998032
154	1119.6727	11.674084	1137.2998	1103.508	434.7	21.28403	464.0	399.0	775000	12501.547373056412
155	1116.0756	9.502848	1131.1814	1101.502	438.5	14.465476	476.0	422.0	780000	12571.415437936783
156	1108.1195	14.092111	1136.5466	1082.9907	418.8	26.018454	465.0	372.0	785000	12641.343080759048
157	1115.9104	16.280931	1136.5798	1091.0841	421.6	26.30285	463.0	371.0	790000	12712.304656267166
158	1120.6517	11.11568	1142.6742	1106.3888	439.4	18.084248	466.0	404.0	795000	12783.242020130157
159	1124.9551	18.007334	1152.6367	1094.8009	440.8	16.460863	464.0	409.0	800000	12854.081604242325
160	1131.749	9.711866	1146.9155	1119.2832	445.3	9.910096	459.0	429.0	805000	12925.273163795471
161	1132.2289	10.892681	1146.9954	1115.0771	442.5	10.575916	456.0	421.0	810000	12994.082926988602
162	1127.8835	16.263754	1154.3408	1102.1036	437.3	20.243765	470.0	402.0	815000	13065.493317604065
163	1121.007	15.397011	1143.9454	1099.5024	432.6	16.70449	462.0	405.0	820000	13133.23649263382
164	1114.7634	15.566916	1143.733	1090.9045	414.8	21.567568	447.0	380.0	825000	13204.666528463364
165	1123.6395	12.281616	1145.4897	1100.9003	432.2	25.486467	474.0	384.0	830000	13273.692144155502
166	1124.1191	17.190468	1150.0311	1095.389	431.9	23.360008	465.0	390.0	835000	13344.29084444046
167	1119.939	16.063608	1139.8822	1092.4235	433.4	19.688576	460.0	402.0	840000	13414.914739608765
168	1135.701	11.968891	1161.3865	1112.2672	448.6	17.568153	476.0	408.0	845000	13485.094957590103
169	1131.4479	12.848059	1153.6836	1109.1271	447.4	14.437452	466.0	418.0	850000	13555.648350000381
170	1134.7611	11.546483	1156.8988	1115.3481	440.1	9.924213	453.0	422.0	855000	13625.538663864136
171	1138.4459	12.166657	1162.0897	1119.841	446.2	13.804348	465.0	425.0	860000	13696.315444946289
172	1140.2146	9.161449	1152.7261	1123.1371	456.4	10.697663	471.0	435.0	865000	13766.856123447418
173	1134.821	7.5364003	1142.2308	1115.4581	449.8	10.824048	463.0	425.0	870000	13836.479325532913
174	1139.4921	10.175216	1157.3936	1121.7389	453.7	16.112417	475.0	428.0	875000	13907.558014631271
