Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
53	906.12805	13.187765	927.0299	875.74365	1.4	1.1135529	3.0	0.0	270000	7086.45432639122
54	916.01447	11.120751	932.65924	889.42896	2.4	2.416609	6.0	0.0	275000	7274.115322828293
55	927.15607	12.566549	946.4096	912.52515	2.2	2.0880613	7.0	0.0	280000	7444.382923603058
56	910.5433	16.299248	941.63885	876.44446	1.8	1.5362291	5.0	0.0	285000	7624.434632778168
57	913.02014	11.531266	926.8919	883.0006	1.1	1.5779734	5.0	0.0	290000	7803.0221519470215
58	909.2401	9.257426	921.7235	894.47046	0.2	0.4	1.0	0.0	295000	7987.874566316605
59	917.58167	5.746232	931.54736	910.32916	0.6	0.8	2.0	0.0	300000	8175.224875688553
60	919.06116	6.1050787	927.5526	908.89954	0.7	0.9	3.0	0.0	305000	8364.979166269302
61	924.0568	8.429445	939.5264	909.51935	1.3	1.0999999	3.0	0.0	310000	8545.634723186493
62	923.77783	7.540608	931.8075	905.62415	1.3	1.7349352	5.0	0.0	315000	8728.759333133698
63	930.92444	4.3901167	937.21265	923.50397	1.4	1.56205	5.0	0.0	320000	8903.47155714035
64	923.363	8.586602	940.25616	910.1645	2.3	2.0518284	5.0	0.0	325000	9094.677287101746
65	905.7484	9.650051	920.5967	888.8067	0.5	0.67082036	2.0	0.0	330000	9284.806851863861
66	911.6621	6.9015093	921.83295	897.3429	0.5	0.67082036	2.0	0.0	335000	9477.33443069458
67	911.90497	18.986366	936.2431	872.70026	1.2	1.4696939	5.0	0.0	340000	9665.92263674736
68	908.3535	14.177749	935.0739	887.94946	1.2	1.0770329	3.0	0.0	345000	9861.785063028336
69	916.4175	16.61653	944.5281	888.3716	1.8	1.6613249	5.0	0.0	350000	10051.881061077118
70	939.94226	10.135067	954.9835	922.2788	1.2	1.2489996	3.0	0.0	355000	10236.27765917778
