Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
53	1126.4672	17.013193	1157.7473	1095.9303	437.8	19.747406	458.0	389.0	270000	2960.36531996727
54	1140.9319	13.768201	1158.0621	1117.2438	456.9	16.717955	476.0	416.0	275000	3013.97887134552
55	1138.6664	15.444371	1159.9242	1103.381	451.7	18.729923	470.0	412.0	280000	3065.2176938056946
56	1147.9525	21.565145	1177.5839	1110.024	444.0	14.5876665	464.0	413.0	285000	3118.9737989902496
57	1164.3118	22.230139	1194.3585	1122.1532	460.4	11.324309	476.0	445.0	290000	3173.4383733272552
58	1161.5642	21.286633	1183.8821	1113.9476	455.0	27.788486	476.0	388.0	295000	3223.271834373474
59	1152.7395	16.397732	1172.5708	1124.693	464.7	11.287603	479.0	443.0	300000	3276.58220243454
60	1176.467	17.792603	1194.3217	1146.046	470.5	4.90408	478.0	462.0	305000	3330.9144670963287
61	1168.9691	36.226795	1201.1062	1065.0684	463.1	22.805481	481.0	400.0	310000	3381.635820388794
62	1182.9636	17.570549	1221.1763	1156.6766	462.8	14.330388	480.0	429.0	315000	3434.5424859523773
63	1195.8365	19.32022	1234.7474	1166.0713	473.2	5.436911	481.0	461.0	320000	3488.0741653442383
64	1194.9664	14.99045	1217.1661	1166.9038	468.2	13.738996	479.0	430.0	325000	3540.064799308777
65	1196.1387	36.224403	1234.9518	1123.4382	463.7	19.240843	482.0	418.0	330000	3591.887445449829
66	1187.8005	33.74927	1238.2163	1128.5703	461.5	19.981241	479.0	408.0	335000	3646.1926233768463
67	1205.2063	20.03073	1235.4309	1178.9481	470.9	9.710304	481.0	448.0	340000	3698.617061138153
68	1210.5526	8.758439	1226.2756	1198.6636	475.5	5.10392	481.0	464.0	345000	3750.335645198822
69	1198.7675	22.822626	1235.7465	1156.0261	461.0	16.40122	476.0	414.0	350000	3803.0918803215027
70	1220.8811	14.907112	1238.2618	1192.8633	469.1	8.04301	478.0	450.0	355000	3855.070095062256
71	1231.5059	23.925592	1263.2257	1195.0312	470.9	7.5159826	480.0	458.0	360000	3908.0250749588013
72	1238.6079	12.717703	1259.8727	1213.3354	478.0	3.5496478	481.0	469.0	365000	3959.3739676475525
73	1235.0433	15.443003	1269.4641	1211.3346	474.1	11.121601	481.0	443.0	370000	4012.231615781784
74	1239.0377	24.376026	1265.0333	1195.4484	475.1	6.441273	482.0	465.0	375000	4063.2992713451385
75	1244.1788	16.007874	1281.2253	1223.0905	475.7	5.2163205	482.0	469.0	380000	4116.468188047409
76	1235.0033	23.793558	1279.5123	1197.0023	473.2	11.408769	481.0	441.0	385000	4167.437378883362
77	1256.3551	13.495458	1271.726	1232.0114	477.5	6.7416615	483.0	458.0	390000	4218.334903717041
78	1256.9077	16.484274	1291.0702	1232.841	479.2	2.7129319	482.0	472.0	395000	4272.5948531627655
79	1255.9465	15.865949	1277.1742	1224.0831	475.7	9.381364	482.0	451.0	400000	4324.747631072998
80	1266.5208	19.04676	1296.3563	1223.9934	480.1	2.2113345	482.0	474.0	405000	4374.070529699326
81	1273.5061	24.250809	1312.0491	1227.5641	480.4	3.2	483.0	471.0	410000	4428.076237201691
82	1266.4218	12.36257	1291.7571	1252.3246	481.3	1.1	483.0	479.0	415000	4480.249466896057
83	1260.1038	14.980434	1288.9326	1237.5522	480.9	1.3747728	482.0	478.0	420000	4532.7883207798
84	1263.1152	15.384885	1289.8228	1234.6942	480.7	1.3453624	482.0	478.0	425000	4583.431177616119
85	1273.753	16.82645	1297.4976	1253.2017	478.2	5.2687764	482.0	463.0	430000	4635.768950223923
86	1277.6642	18.256842	1298.6237	1244.4084	479.7	4.7339206	484.0	466.0	435000	4688.656445980072
87	1278.5994	19.003365	1314.1345	1254.0792	479.9	3.6180108	483.0	470.0	440000	4739.444790363312
88	1283.5494	18.618431	1309.308	1249.4254	480.0	1.7888544	481.0	475.0	445000	4789.976894855499
89	1275.0984	14.741284	1294.399	1250.5525	480.8	1.5362291	483.0	478.0	450000	4842.752276182175
90	1274.9263	10.429523	1299.7548	1262.3368	480.3	3.318132	483.0	471.0	455000	4895.493725299835
91	1270.2302	21.843987	1293.6016	1221.394	481.1	2.2561028	484.0	476.0	460000	4946.0895318984985
92	1268.736	12.530345	1282.883	1241.1373	480.4	2.2891047	483.0	474.0	465000	4996.979907274246
93	1276.591	20.198559	1299.9883	1244.2555	480.7	2.147091	482.0	475.0	470000	5050.296748876572
94	1289.1805	15.0606575	1307.7892	1263.7207	480.7	2.238303	484.0	475.0	475000	5101.480944633484
95	1297.1238	9.204466	1316.4844	1284.564	481.1	1.6401219	485.0	479.0	480000	5152.797359466553
96	1284.7205	43.07588	1311.206	1157.9633	471.2	28.519466	484.0	386.0	485000	5204.534934043884
97	1299.4968	13.962956	1318.8132	1269.1245	477.5	9.447222	483.0	450.0	490000	5256.299043178558
98	1300.2009	10.549344	1317.3424	1280.3904	479.5	3.879433	483.0	471.0	495000	5307.187048196793
99	1303.0264	25.305384	1344.7551	1253.6718	479.3	5.4598536	484.0	464.0	500000	5360.671816825867
100	1305.2117	12.807257	1320.6735	1282.446	482.3	0.64031243	484.0	482.0	505000	5410.790104866028
101	1318.72	23.504745	1359.6423	1281.9069	481.5	2.0615528	483.0	476.0	510000	5461.250677347183
102	1321.3936	11.917471	1338.0286	1298.2778	481.3	1.4177446	483.0	478.0	515000	5514.5677835941315
103	1302.1731	23.941162	1340.1558	1268.9235	478.1	4.3920383	482.0	470.0	520000	5566.510708332062
104	1317.7804	15.749167	1348.8934	1296.4976	481.2	2.6381812	484.0	474.0	525000	5616.869224309921
105	1308.7708	39.6501	1337.08	1196.8396	478.5	13.185219	484.0	439.0	530000	5666.819654941559
106	1317.3269	32.068634	1347.86	1239.3207	477.9	11.344161	485.0	446.0	535000	5718.70535159111
107	1298.399	19.544292	1334.2462	1277.2328	478.7	6.083585	484.0	466.0	540000	5771.703527212143
108	1307.1879	17.76027	1333.8181	1270.1884	479.5	4.6314144	483.0	469.0	545000	5821.887453556061
109	1293.1935	48.133842	1332.1329	1155.2822	471.0	24.207438	483.0	401.0	550000	5871.099811553955
110	1324.7919	11.5182495	1349.382	1313.6721	482.3	1.9	485.0	478.0	555000	5923.291131734848
111	1313.4115	61.34124	1373.6196	1136.496	472.2	27.83451	484.0	389.0	560000	5975.581624746323
112	1342.114	15.91503	1367.8623	1318.1483	482.2	2.8213472	485.0	474.0	565000	6026.224702835083
113	1333.0417	17.810019	1361.0256	1301.2393	482.1	0.9433981	483.0	480.0	570000	6076.591864824295
114	1343.0857	8.73872	1356.8752	1324.618	482.5	1.118034	484.0	480.0	575000	6127.972124576569
115	1350.4579	20.720753	1376.3997	1293.7689	482.4	2.6153395	485.0	475.0	580000	6179.930027484894
116	1352.739	14.688544	1381.6947	1334.3497	480.2	7.4404297	484.0	458.0	585000	6231.548841953278
117	1361.6813	15.57578	1398.081	1340.7476	483.3	1.1874342	485.0	482.0	590000	6282.952027797699
118	1353.6802	22.63024	1381.3663	1297.8734	481.2	7.7820306	485.0	458.0	595000	6335.169079065323
119	1367.5001	15.10884	1394.8254	1343.308	483.3	1.1874342	485.0	481.0	600000	6386.280782461166
120	1369.1423	10.184166	1388.9438	1359.1427	483.3	0.9	485.0	482.0	605000	6438.7129418849945
121	1376.9558	16.758709	1398.8674	1340.6167	484.3	0.6403124	485.0	483.0	610000	6488.770519733429
122	1380.5286	20.083471	1413.1487	1345.243	483.1	0.7	484.0	482.0	615000	6540.790100336075
123	1390.3999	7.94981	1403.211	1380.0786	483.4	1.1135529	485.0	482.0	620000	6593.543390512466
124	1395.9463	19.514729	1424.2936	1370.3955	483.9	0.83066237	485.0	483.0	625000	6645.00856924057
125	1393.8289	19.18261	1421.243	1370.1831	483.0	1.6124516	485.0	479.0	630000	6695.642126560211
126	1399.6218	25.15744	1443.5737	1352.1661	481.7	6.603787	485.0	462.0	635000	6746.170706272125
127	1401.8949	15.619091	1424.7539	1375.3792	483.8	0.7483314	485.0	483.0	640000	6797.8828547000885
128	1408.2689	12.379779	1425.5513	1388.1835	484.1	0.7	485.0	483.0	645000	6851.186928272247
129	1395.8103	12.21823	1413.4314	1373.6356	484.1	0.7	485.0	483.0	650000	6898.598573684692
130	1368.0027	70.30212	1417.3265	1162.9072	476.0	23.685438	485.0	405.0	655000	6949.7207798957825
131	1403.5319	17.87891	1429.4095	1362.2426	484.4	0.48989794	485.0	484.0	660000	7001.731628894806
132	1398.5939	14.32475	1419.2716	1371.3253	482.5	4.90408	485.0	468.0	665000	7052.673185586929
133	1382.6161	45.09024	1424.8217	1253.1062	478.7	17.245579	486.0	427.0	670000	7102.368360042572
134	1414.9697	10.956981	1428.5969	1391.7604	484.7	0.6403124	486.0	484.0	675000	7154.992729663849
135	1407.936	16.565634	1428.9292	1381.2313	484.4	0.8	485.0	483.0	680000	7206.462815284729
136	1410.1212	8.553123	1421.8276	1397.439	483.9	1.4456832	486.0	481.0	685000	7257.397247314453
137	1406.6937	14.998772	1425.1177	1374.4437	482.8	3.994997	485.0	471.0	690000	7307.414183616638
138	1418.3778	10.850673	1435.4932	1400.6836	483.8	1.077033	485.0	482.0	695000	7358.4370493888855
139	1421.0436	10.811407	1435.613	1400.9607	484.0	1.0	485.0	482.0	700000	7410.393298625946
140	1428.7358	9.91825	1451.3883	1414.1155	484.2	1.0770329	485.0	482.0	705000	7461.255793094635
141	1418.5408	12.923656	1441.4645	1391.4796	483.9	0.83066237	485.0	483.0	710000	7512.41633439064
142	1416.5286	14.389936	1442.5088	1400.0425	483.7	0.781025	485.0	483.0	715000	7562.969052553177
143	1411.7731	13.919918	1432.831	1378.0558	481.8	5.075431	485.0	467.0	720000	7613.372002840042
144	1416.582	12.459993	1432.116	1396.4681	484.0	1.0	485.0	482.0	725000	7665.631063938141
145	1430.0378	13.799991	1445.69	1402.6725	484.6	0.48989794	485.0	484.0	730000	7717.296785116196
146	1424.8251	23.113222	1458.8296	1383.5358	483.4	1.9078784	485.0	479.0	735000	7767.345957994461
147	1430.9789	12.7333765	1448.3414	1406.869	484.5	0.67082036	485.0	483.0	740000	7817.8967707157135
148	1435.3234	14.462816	1452.4298	1408.6443	483.9	0.7	485.0	483.0	745000	7870.098466873169
149	1424.1371	12.352387	1437.9409	1403.713	484.6	0.48989794	485.0	484.0	750000	7921.996246337891
150	1434.0718	10.995376	1456.0166	1419.8441	484.8	0.6	486.0	484.0	755000	7969.566461801529
151	1437.6674	17.12009	1464.4375	1412.977	484.7	0.4582576	485.0	484.0	760000	8020.932108163834
