Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
53	904.07214	17.248411	931.08276	876.4009	46.0	8.843076	61.0	33.0	270000	4131.50471663475
54	891.9966	19.241402	920.8603	866.9748	44.9	5.611595	53.0	34.0	275000	4209.213352203369
55	890.94104	20.639048	926.98254	857.4849	47.6	8.175573	60.0	34.0	280000	4288.886719465256
56	889.65625	23.765247	922.6414	836.22723	46.1	10.96768	64.0	31.0	285000	4365.774104356766
57	887.7897	19.313234	913.6087	856.4295	50.4	8.890444	64.0	36.0	290000	4445.079852104187
58	846.99677	155.28664	924.6052	384.894	57.3	18.417656	89.0	23.0	295000	4524.607371091843
59	901.50195	10.89837	921.143	882.0848	45.8	12.006665	65.0	21.0	300000	4599.687740802765
60	896.6	20.690332	918.7669	846.464	48.7	7.6687675	68.0	41.0	305000	4679.532044172287
61	891.13513	17.200489	912.4902	854.0374	45.9	8.6884985	63.0	33.0	310000	4754.44921040535
62	815.77954	180.22075	913.662	280.64914	48.1	15.845819	63.0	6.0	315000	4834.403997182846
63	897.73535	11.492032	922.0463	884.0054	54.0	5.2915025	60.0	44.0	320000	4912.797107934952
64	858.49756	61.13206	921.69977	729.757	53.1	9.159148	67.0	41.0	325000	4989.251576662064
65	842.07336	168.09732	921.7736	339.71194	62.0	14.567086	82.0	36.0	330000	5069.066798210144
66	888.0417	21.33913	929.37115	856.62616	59.6	11.655042	78.0	46.0	335000	5146.59610414505
67	899.92206	24.669426	928.05005	847.83527	64.4	11.155268	80.0	43.0	340000	5224.390428543091
68	881.8408	47.838062	932.819	763.6493	61.1	12.762836	78.0	39.0	345000	5302.771654367447
69	862.6229	100.94429	927.38135	567.10425	67.4	12.674383	94.0	49.0	350000	5382.2195880413055
70	873.0319	32.077744	916.456	809.63446	72.2	13.592645	98.0	46.0	355000	5458.989842176437
71	862.78406	46.447876	936.8592	766.21625	64.1	12.9185915	87.0	47.0	360000	5539.27219414711
72	876.7101	36.156204	918.8564	811.61523	69.5	10.385085	82.0	50.0	365000	5616.517087221146
73	886.2554	19.859032	923.78217	854.16736	60.5	11.58663	78.0	38.0	370000	5693.395188570023
74	870.43115	34.11407	931.7606	812.5273	60.4	8.765843	77.0	46.0	375000	5772.603609323502
75	866.9232	39.995743	920.0058	765.76855	64.4	16.438976	97.0	45.0	380000	5847.434314489365
76	887.2997	13.316945	907.7699	865.36176	63.5	6.576473	77.0	50.0	385000	5925.449025392532
77	832.1543	118.622246	912.50165	518.40717	75.9	55.491352	239.0	38.0	390000	6003.791038513184
78	905.9442	12.986097	919.7374	873.17285	72.4	10.0219755	90.0	63.0	395000	6079.655202388763
79	897.43616	24.85204	942.61694	861.79596	75.0	7.7974353	86.0	63.0	400000	6159.69304394722
80	902.23663	9.062351	914.4006	884.9956	60.8	8.280097	77.0	49.0	405000	6237.826874256134
81	884.00946	27.586124	921.02295	819.47437	65.6	8.569715	76.0	51.0	410000	6317.207034826279
82	884.26465	33.752052	929.32965	824.1602	73.4	11.429786	91.0	54.0	415000	6395.115372419357
83	898.59393	15.695781	921.33746	864.8987	72.1	8.431488	87.0	56.0	420000	6473.814329624176
84	905.3701	18.862804	930.9659	864.80493	84.5	9.656604	103.0	73.0	425000	6552.336158514023
85	893.28906	19.247816	913.754	851.6925	74.3	11.900001	100.0	60.0	430000	6632.332063436508
86	891.01355	24.91233	929.7233	846.16986	68.1	16.052725	107.0	44.0	435000	6706.9762263298035
87	893.35706	15.352376	925.12836	871.64404	63.3	9.930257	84.0	50.0	440000	6786.935603141785
88	906.38214	19.581163	933.23694	871.19727	67.7	11.305308	93.0	56.0	445000	6864.368625640869
89	896.3553	55.895714	950.93036	738.55164	68.4	9.308061	81.0	52.0	450000	6941.667552232742
90	901.9136	16.453394	926.492	873.74915	70.3	10.325212	89.0	57.0	455000	7020.483011960983
91	906.84705	14.249139	928.6485	879.2585	76.2	11.22319	99.0	64.0	460000	7097.089948177338
92	881.6053	46.47991	918.7988	748.72974	65.6	10.0219755	85.0	51.0	465000	7176.756503582001
93	906.9369	13.61586	926.80597	885.7113	77.7	8.843641	87.0	63.0	470000	7254.357775211334
94	876.8934	50.525417	924.4834	737.2035	74.2	12.4	97.0	56.0	475000	7330.8884973526
95	907.0169	21.525723	935.8043	855.32446	83.8	14.95861	116.0	63.0	480000	7409.676695585251
96	893.0085	26.670343	939.1973	836.736	84.9	11.139569	101.0	70.0	485000	7488.596839427948
97	894.24384	18.547163	933.15015	872.9222	82.3	19.56042	135.0	63.0	490000	7564.806654930115
98	895.8109	25.808958	932.05945	851.6064	77.5	7.6713753	89.0	65.0	495000	7643.07602763176
99	882.06165	40.814137	923.36224	775.4057	81.1	9.565041	94.0	65.0	500000	7721.028141736984
100	894.92957	29.098242	935.30725	834.2489	77.3	10.237676	98.0	63.0	505000	7796.8025534152985
101	906.001	18.905771	944.4061	879.931	79.4	14.78648	120.0	62.0	510000	7875.641703128815
102	898.45764	20.569294	930.5715	859.6404	76.8	11.391225	97.0	58.0	515000	7952.79808139801
103	883.6844	42.103954	931.9161	802.8264	75.2	13.159027	93.0	50.0	520000	8029.493517637253
104	897.54004	19.981579	929.672	867.7759	72.9	4.8052053	80.0	62.0	525000	8109.26611828804
105	903.828	15.095103	923.91895	875.5964	75.2	11.232097	100.0	61.0	530000	8183.551606178284
106	895.4535	28.146458	943.69806	825.7884	76.0	10.881177	94.0	60.0	535000	8262.25974702835
107	893.84296	18.127892	923.50867	863.2144	69.5	10.846659	95.0	55.0	540000	8340.617064237595
108	900.81836	17.679329	934.3973	870.5564	69.9	6.92026	82.0	57.0	545000	8417.500484228134
109	890.64374	34.64668	932.2955	805.80457	71.6	6.529931	83.0	61.0	550000	8496.11062002182
110	896.31995	18.397081	925.8951	870.1172	67.8	8.376157	84.0	52.0	555000	8573.8828125
111	903.0291	15.438221	929.73114	876.35486	70.7	9.613012	84.0	52.0	560000	8649.92720413208
112	874.8678	40.93868	911.499	792.4775	88.0	31.48333	166.0	57.0	565000	8726.241114854813
113	898.4714	25.374126	936.0432	855.0787	68.3	10.973149	96.0	55.0	570000	8805.765949010849
114	869.71094	57.36104	927.5197	740.636	95.6	32.815243	170.0	70.0	575000	8882.637102127075
115	903.86865	23.395906	945.6355	872.74994	74.5	10.837435	93.0	58.0	580000	8961.27530169487
116	884.12384	47.399178	935.008	750.035	83.9	23.071411	147.0	61.0	585000	9040.067611217499
117	908.94104	28.286982	938.4783	858.1916	74.2	6.8527365	84.0	62.0	590000	9115.363141059875
118	896.97705	32.81573	941.80817	821.7923	81.9	21.030691	131.0	61.0	595000	9193.989992380142
119	898.8156	21.978554	923.15967	861.26935	85.9	13.830763	110.0	60.0	600000	9272.32782125473
120	909.3551	28.726652	951.11554	848.504	76.0	8.087027	90.0	61.0	605000	9349.25659108162
121	896.21875	13.889003	923.39154	876.7482	71.0	4.6260133	77.0	62.0	610000	9429.262437343597
122	880.64954	49.999584	926.7472	737.9211	72.2	6.4	85.0	63.0	615000	9504.941082954407
123	902.89795	34.01576	940.59515	818.4393	78.0	10.488089	96.0	55.0	620000	9584.04891872406
124	891.0947	28.534563	924.96515	827.56665	78.6	20.279055	131.0	58.0	625000	9661.215897798538
125	894.66144	23.693506	918.4241	834.4133	74.5	6.1196404	85.0	66.0	630000	9738.398557186127
126	887.1802	24.487585	925.3637	845.8109	70.1	9.289241	89.0	55.0	635000	9817.167452335358
127	897.16376	20.097363	932.547	866.56805	71.6	7.539231	82.0	61.0	640000	9894.404986143112
128	904.0187	13.711463	923.7219	877.3904	73.2	6.9828362	87.0	60.0	645000	9971.98120379448
