Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
53	877.3148	27.496544	912.5504	805.64075	3.4	3.4117444	11.0	0.0	270000	8910.683309078217
54	892.0501	16.242199	919.56934	858.89026	6.3	5.8660035	22.0	1.0	275000	9134.648547887802
55	901.50116	10.375461	917.2102	888.91077	7.2	4.2614555	15.0	1.0	280000	9335.824350833893
56	916.22986	9.169431	933.29785	900.5425	8.3	3.4942808	14.0	2.0	285000	9535.374898672104
57	921.63477	10.129646	942.81415	903.04224	8.9	4.763402	19.0	2.0	290000	9730.331243753433
58	904.59827	10.551843	925.7746	884.5751	4.3	2.758623	10.0	0.0	295000	9943.876427173615
59	932.58563	10.342506	952.5037	917.0364	7.4	4.498889	20.0	3.0	300000	10149.537560224533
60	915.80927	9.410533	927.7632	891.0909	5.7	5.4598536	21.0	1.0	305000	10360.847651958466
61	915.6178	12.501874	933.89465	889.76575	4.6	2.5768197	9.0	1.0	310000	10551.817687749863
62	921.1083	16.278612	947.31256	889.4383	9.6	8.822699	25.0	1.0	315000	10718.285686254501
63	922.33594	13.658569	939.7237	890.77136	6.3	4.4056783	16.0	2.0	320000	10890.071748018265
64	914.3294	24.240803	942.49255	865.10504	6.9	5.1468434	15.0	0.0	325000	11067.200022697449
65	902.59656	20.80624	936.1111	863.87866	3.0	1.7888544	5.0	0.0	330000	11240.507019758224
66	914.7795	36.336605	951.826	846.2839	4.3	4.817676	18.0	0.0	335000	11411.391248226166
67	938.14636	11.341807	956.98737	924.7085	7.0	4.0249224	13.0	1.0	340000	11573.015850543976
68	931.15283	18.96493	950.59186	885.58887	4.6	2.1540658	8.0	2.0	345000	11732.919632911682
69	937.75134	16.08819	958.5761	896.3106	5.5	2.7294688	11.0	1.0	350000	11887.721044301987
70	951.12714	6.8289223	960.908	938.97266	7.7	3.2878566	13.0	2.0	355000	12028.662163496017
71	941.78625	9.622446	956.4267	924.29565	7.7	5.158488	20.0	2.0	360000	12183.67135643959
72	951.1229	8.993503	965.504	934.18054	3.7	3.494281	12.0	0.0	365000	12323.681520700455
73	946.946	11.857635	967.5837	925.305	4.1	2.1656408	8.0	0.0	370000	12485.273708581924
74	947.13214	15.013985	973.7177	920.389	3.6	2.154066	8.0	0.0	375000	12648.51373410225
75	955.5465	7.778783	968.5696	939.7246	5.0	3.0	11.0	2.0	380000	12810.132433652878
76	950.82684	11.467709	965.544	928.7167	4.7	2.6095974	10.0	1.0	385000	12975.170060157776
77	941.1802	25.860844	963.33685	876.03253	3.0	1.4142135	6.0	1.0	390000	13143.931765556335
78	947.3732	12.045869	963.7894	928.7498	6.1	3.5623026	12.0	2.0	395000	13313.014172792435
79	936.6393	21.040787	968.04865	887.03186	10.0	6.6633325	21.0	2.0	400000	13477.405965805054
80	940.4878	17.777245	958.28925	899.9456	2.7	2.1000001	6.0	0.0	405000	13642.3965113163
81	955.6784	9.581766	969.8604	935.727	4.4	3.0724583	9.0	1.0	410000	13806.782938718796
82	965.1891	8.617759	980.27454	950.9427	5.0	2.792848	9.0	0.0	415000	13971.540923118591
83	948.81384	11.890677	967.3308	931.8215	4.6	1.9595919	8.0	2.0	420000	14152.973841190338
84	948.64844	13.510442	963.0913	922.7439	4.3	4.1000004	13.0	0.0	425000	14333.114059448242
